Project_ID,Name Projekt,projekt_Beginn,Plan Bau fertig,Fertig_IST,Kosten Plan,Ist_Kosten,Project_team
HN-399443,Straßenbau // Jennifer-Buchholz-Ring,2014-09-01,2014-10-03,2014-10-02,219817.4,246192.34,Team 3
UD-626094,Elektroarbeiten // Langernstraße,2021-06-12,2021-08-16,2021-09-18,105683.14,144657.38,Team 3
IO-468103,Spielplatz // Dussen vanweg,2016-05-20,2016-06-29,2016-06-27,129851.26,136753.06,Team 1
OG-758899,Stadtpark // Lübsstr.,2014-11-11,2014-12-30,2015-01-28,181236.83,273996.91,Team 2
CZ-107835,Elektroarbeiten // Försterweg,2017-07-25,2017-10-08,2017-10-08,75205.92,77519.27,Team 4
HI-359674,Elektroarbeiten // Rennerweg,2016-01-04,2016-03-21,2016-03-12,151411.19,158371.97,Team 1
YZ-626519,Baumbestand // Maik-Losekann-Ring,2019-03-10,2019-03-23,2019-03-26,58487.22,70654.02,Team 1
SX-790911,Landschaftsbau // Bohlanderring,2020-07-26,2020-08-29,2020-08-29,81275.76,86207.69,Team 1
AK-854107,Baumbestand // Dietzweg,2014-05-09,2014-05-21,2014-05-20,70001.36,77459.12,Team 4
GF-524437,Baumbestand // Esther-Scholtz-Weg,2020-02-24,2020-03-06,2020-03-09,46249.55,49518.89,Team 4
VQ-396609,Ubahn // Kühnertallee,2018-07-06,2018-12-23,2019-02-22,691794.67,781007.41,Team 3
YJ-486443,Elektroarbeiten // Ladeckplatz,2016-05-26,2016-07-18,2016-08-04,149626.36,188562.9,Team 3
IT-408764,Straßenbau // Senol-Ullmann-Ring,2016-05-22,2016-08-22,2016-08-23,279081.53,329072.48,Team 1
KJ-159621,Spielplatz // Hesergasse,2013-08-04,2013-09-06,2013-09-01,55579.58,58525.46,Team 1
CH-468612,Ubahn // Ricardo-Dowerg-Gasse,2017-04-16,2017-09-18,2017-11-10,916252.36,874528.46,Team 3
VR-122727,Baumbestand // Hajo-Nohlmans-Platz,2018-05-25,2018-06-06,2018-06-08,30925.82,41457.82,Team 2
VK-243901,Ubahn // Kranzallee,2021-11-08,2022-01-20,2022-02-11,842645.3,1071818.3,Team 2
