Projekt_ID,Projektname,Projekt_Beginn,Plan_Bau_fertig,Ist_Bau_fertig,Plan_Kosten,Ist_Kosten,Project_team
P-62602,Stadtpark // Eberhardtallee,2013-10-15,2013-12-26,2013-12-25,109129.55,130487.07,Team 4
P-80374,Spielplatz // Geißlerweg,2016-07-14,2016-09-20,2016-09-22,59521.33,66009.97,Team 4
P-96379,Spielplatz // Schäferring,2019-06-14,2019-06-16,2019-06-29,82572.27,107571.64,Team 2
P-31809,Baumbestand // Raphaela-Scheel-Platz,2019-02-06,2019-02-11,2019-02-11,29563.59,29724.17,Team 1
P-51445,Landschaftsbau // Julia-Neureuther-Platz,2015-04-26,2015-05-16,2015-05-20,38315.35,53783.4,Team 3
P-17239,Ubahn // Kaulstraße,2014-02-14,2014-06-24,2014-08-26,324161.33,379960.83,Team 1
P-11591,Elektroarbeiten // Wulffplatz,2017-09-14,2017-11-03,2017-12-05,114458.24,134580.96,Team 3
P-62322,Baumbestand // Scholzplatz,2014-12-05,2014-12-07,2014-12-09,81218.86,87603.92,Team 4
P-07862,Elektroarbeiten // Rittergasse,2017-07-26,2017-09-23,2017-09-24,97055.57,105582.14,Team 4
P-20310,Elektroarbeiten // Rosemannallee,2021-05-30,2021-07-13,2021-07-06,102629.43,115819.08,Team 1
P-61977,Stadtpark // Dowergring,2016-07-29,2016-09-14,2016-09-14,129363.88,211969.28,Team 2
P-22243,Ubahn // Wigbert-Kallert-Weg,2016-04-20,2017-01-14,2017-03-08,398754.5,508805.04,Team 1
P-19018,Landschaftsbau // Manuel-Kuhl-Weg,2017-06-12,2017-07-18,2017-07-14,96218.68,129742.19,Team 2
P-88735,Elektroarbeiten // Ullrichallee,2014-11-10,2014-12-09,2015-01-06,53855.48,66824.73,Team 3
P-54521,Baumbestand // Inga-Dippel-Allee,2021-03-27,2021-04-11,2021-04-14,50747.97,61316.79,Team 1
P-17848,Landschaftsbau // Damian-Martin-Allee,2020-01-01,2020-01-14,2020-02-11,85094.43,117119.36,Team 2
P-14195,Ubahn // Valentin-Steinberg-Weg,2017-04-13,2017-12-10,2018-01-15,416504.4,472669.07,Team 2
P-10121,Elektroarbeiten // Bogdan-Neuschäfer-Gasse,2013-09-21,2013-11-17,2013-11-15,171524.62,195724.71,Team 1
P-43705,Stadtpark // Wendegasse,2019-07-24,2019-10-14,2019-10-13,250251.76,259728.09,Team 4
P-49853,Stadtpark // Stephanie-Förster-Straße,2021-11-25,2022-01-08,2021-12-23,124474.08,157544.98,Team 3
P-70583,Elektroarbeiten // Riehlstr.,2021-12-11,2022-02-27,2022-04-16,77732.36,125615.69,Team 3
P-03149,Baumbestand // Segebahnstraße,2019-03-10,2019-03-12,2019-03-12,49522.1,58728.78,Team 4
P-50386,Landschaftsbau // Frank-Henk-Platz,2021-11-05,2021-12-09,2022-01-16,131337.57,153835.07,Team 2
P-41807,Baumbestand // Wulffgasse,2021-07-25,2021-08-03,2021-08-11,27836.59,44465.06,Team 2
P-19920,Elektroarbeiten // Gunnar-Steinberg-Weg,2014-04-15,2014-06-11,2014-06-07,81485.25,93943.95,Team 1
P-44963,Ubahn // Hansjörg-Geißler-Allee,2013-02-25,2013-05-26,2013-09-27,571464.75,709524.05,Team 1
P-67654,Ubahn // Kramerstraße,2014-03-17,2014-05-23,2014-09-03,406111.89,475653.7,Team 1
P-82805,Spielplatz // Benedikt-Jäkel-Gasse,2020-06-24,2020-08-06,2020-08-25,91449.18,114357.76,Team 2
P-60790,Straßenbau // Lukas-Bolzmann-Straße,2017-02-17,2017-05-25,2017-05-26,325995.94,481646.43,Team 2
P-88753,Straßenbau // Rosina-Gnatz-Weg,2016-05-19,2016-07-25,2016-07-25,162550.04,187561.86,Team 1
P-58995,Landschaftsbau // Mudering,2014-11-11,2014-11-16,2014-11-18,24511.48,40281.75,Team 4
P-99352,Straßenbau // Gülten-Reichmann-Allee,2013-08-30,2013-12-21,2013-12-23,287695.25,337387.61,Team 3
P-51305,Landschaftsbau // Elsbeth-Noack-Allee,2020-04-18,2020-05-18,2020-05-24,84667.09,103759.2,Team 2
P-72875,Straßenbau // Segebahnstraße,2018-03-20,2018-08-19,2018-08-22,390249.72,516687.38,Team 2
P-48428,Straßenbau // Dowergallee,2018-12-25,2019-01-22,2019-04-11,373996.42,493683.2,Team 4
P-98940,Spielplatz // Gießring,2021-04-11,2021-04-30,2021-05-03,84015.27,103880.93,Team 4
P-63781,Ubahn // Ehrentraud-Weinhage-Weg,2016-10-04,2017-01-26,2017-06-09,212225.65,193311.49,Team 1
P-38463,Stadtpark // Eleonore-Steinberg-Gasse,2015-10-14,2015-12-03,2015-11-22,269254.54,271437.22,Team 3
P-51720,Baumbestand // Klaus-Dieter-Schenk-Platz,2019-08-26,2019-09-13,2019-09-12,55866.27,82369.38,Team 2
P-68785,Baumbestand // Cilly-Hermighausen-Platz,2018-12-10,2018-12-23,2019-01-25,-17546.79,-25954.93,Team 2
P-81875,Elektroarbeiten // Joanna-Löchel-Weg,2018-10-19,2018-12-18,2019-01-05,179982.83,242520.91,Team 3
P-48946,Baumbestand // Fischerstr.,2022-01-27,2022-02-11,2022-03-10,49356.23,55460.57,Team 2
P-17194,Stadtpark // Wesackweg,2020-06-09,2020-07-02,2020-07-01,10799.26,11250.99,Team 4
P-10273,Stadtpark // Annelene-Döring-Gasse,2014-08-21,2014-10-06,2014-10-07,438161.35,668932.21,Team 2
P-04689,Spielplatz // Malte-Hoffmann-Gasse,2021-08-20,2021-10-29,2021-10-31,31497.61,39399.69,Team 3
P-41303,Landschaftsbau // Ilhan-Hermighausen-Weg,2014-04-20,2014-05-09,2014-05-08,131018.25,172533.73,Team 1
P-82113,Stadtpark // Kraushaarstr.,2013-05-02,2013-07-05,2013-06-17,90264.42,87312.82,Team 3
P-12212,Elektroarbeiten // Warmerstr.,2017-04-23,2017-06-06,2017-06-06,-5977.18,-7639.79,Team 2
P-60874,Stadtpark // Johanne-Köster-Allee,2022-01-06,2022-02-09,2022-02-11,321316.17,392372.93,Team 4
P-59281,Landschaftsbau // Kadeplatz,2013-02-27,2013-03-30,2013-04-01,92986.23,128291.16,Team 2
P-54826,Elektroarbeiten // Roggestraße,2013-11-29,2014-03-02,2014-03-02,113013.97,122730.21,Team 4
P-27402,Stadtpark // Zobelring,2013-09-21,2013-10-22,2013-10-24,128203.93,146951.41,Team 4
P-31428,Elektroarbeiten // Monica-Drewes-Ring,2017-03-04,2017-04-02,2017-04-03,47075.01,55717.99,Team 4
P-12287,Baumbestand // Mijo-Graf-Gasse,2013-06-20,2013-06-27,2013-06-29,24819.43,34492.23,Team 2
P-37205,Elektroarbeiten // Hartmannplatz,2019-11-04,2019-12-12,2019-12-22,71241.15,73470.2,Team 3
P-40711,Baumbestand // Gutknechtplatz,2021-02-17,2021-02-21,2021-02-25,38794.67,41992.72,Team 1
P-46451,Ubahn // Amanda-Weller-Allee,2016-07-05,2016-12-13,2017-04-08,418062.05,572767.37,Team 1
P-58564,Landschaftsbau // Ilhan-Stoll-Weg,2015-09-02,2015-10-17,2015-10-16,109417.69,121827.75,Team 1
P-21581,Spielplatz // Minna-Conradi-Weg,2015-12-16,2016-01-11,2016-03-08,119041.93,143874.92,Team 2
P-85248,Spielplatz // Gerhart-Scholtz-Straße,2013-08-07,2013-09-19,2013-10-12,143552.79,172390.8,Team 2
P-11594,Ubahn // Dowergweg,2018-02-21,2018-06-12,2018-06-05,482239.87,666830.55,Team 4
P-45753,Straßenbau // Rafael-Kitzmann-Allee,2021-06-13,2021-07-30,2021-09-14,202923.15,263129.75,Team 4
P-24525,Stadtpark // Dominic-Hauffer-Platz,2017-12-11,2018-01-02,2018-01-01,141957.07,154256.99,Team 4
P-73173,Baumbestand // Gerold-Haering-Platz,2017-10-25,2017-11-03,2017-11-05,68348.32,92175.51,Team 2
P-59046,Spielplatz // Darius-Anders-Weg,2019-04-08,2019-04-19,2019-04-23,127596.26,166183.49,Team 4
P-38289,Ubahn // Olav-Davids-Allee,2014-02-25,2014-10-15,2014-11-12,94616.38,114844.33,Team 3
P-75065,Spielplatz // Britt-Wesack-Weg,2015-02-01,2015-04-01,2015-04-02,80176.94,98954.3,Team 4
P-20273,Baumbestand // Celal-auch Schlauchin-Gasse,2018-12-04,2018-12-16,2018-12-15,70001.36,77459.12,Team 4
P-29335,Landschaftsbau // Geislerallee,2020-10-11,2020-11-03,2020-11-06,109811.58,134139.17,Team 2
P-04959,Baumbestand // Bohnbachring,2015-09-16,2015-09-29,2015-09-30,67206.06,82200.6,Team 4
